food_type,common_examples,purine_mg_per_100g_low,purine_mg_per_100g_high,risk_tier,notes
organ_meats,"liver, kidney, heart, brain",150,400,high,"Highest purine density of any food group"
shellfish_high,"anchovies, sardines, herring, mackerel",150,350,high,"Also high in purines per ACR guidelines"
shellfish_moderate,"shrimp, lobster, crab, scallops",90,150,moderate,"Moderate -- portion size matters"
red_meat,"beef, pork, lamb",70,120,moderate,"Varies by cut; organ meats excluded"
poultry,"chicken, turkey, duck",50,110,moderate,"Turkey leg notably higher end"
fish_moderate,"tuna, salmon, trout, cod",50,110,moderate,"Lower than shellfish but still meaningful"
fish_low,"tilapia, catfish, flounder",30,60,low,""
legumes,"beans, lentils, peas",40,80,low_moderate,"Evidence suggests plant purines less bioavailable"
vegetables_high,"asparagus, spinach, mushrooms, cauliflower",50,100,low,"Plant purines not strongly associated with gout risk in epidemiological studies"
dairy,"milk, cheese, yogurt, ice cream",0,15,low,"Dairy is protective; inversely associated with gout"
eggs,eggs,0,10,low,"Very low purine content"
grains,"bread, rice, pasta, corn",10,40,low,""
nuts_seeds,"peanuts, almonds, sunflower seeds",40,80,low,""
fats_oils,"butter, oils, mayo",0,5,low,""
sweets_plain,"sugar, candy without HFCS",0,10,low,"Risk via fructose pathway, not purines"
